state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Undergraduate,Employed,F,Suburban,Married,Personal Auto,1,Agent,Two-Door Car,Medsize
California,No,Basic,Undergraduate,Unemployed,M,Suburban,Married,Corporate Auto,1,Call Center,SUV,Medsize
Washington,No,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Postgraduate,Unemployed,M,Urban,Single,Corporate Auto,1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Undergraduate,Medical Leave,M,Suburban,Single,Corporate Auto,1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,Undergraduate,Employed,F,Urban,Married,Special Auto,2,Branch,Four-Door Car,Medsize
California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,Small
California,No,Basic,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,2,Agent,SUV,Medsize
California,No,Premium,Postgraduate,Employed,M,Urban,Married,Corporate Auto,2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,2,Branch,SUV,Medsize
California,No,Basic,Undergraduate,Employed,M,Urban,Single,Corporate Auto,4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,2,Call Center,Two-Door Car,Medsize
California,No,Basic,Undergraduate,Medical Leave,M,Suburban,Married,Personal Auto,3,Call Center,SUV,Medsize
Oregon,No,Basic,Undergraduate,Employed,M,Urban,Married,Personal Auto,2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Undergraduate,Disabled,F,Suburban,Single,Personal Auto,4,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Undergraduate,Medical Leave,M,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Undergraduate,Unemployed,F,Suburban,Single,Corporate Auto,1,Branch,Four-Door Car,Medsize
California,No,Basic,Undergraduate,Disabled,F,Suburban,Married,Corporate Auto,2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,2,Call Center,Four-Door Car,Large
California,No,Premium,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,1,Agent,Four-Door Car,Small
Washington,No,Extended,Postgraduate,Disabled,F,Urban,Married,Corporate Auto,1,Branch,SUV,Medsize
Arizona,No,Premium,Undergraduate,Employed,F,Suburban,Single,Personal Auto,1,Call Center,Four-Door Car,Large
Oregon,No,Extended,Postgraduate,Employed,F,Suburban,Married,Personal Auto,2,Branch,Four-Door Car,Small
Arizona,No,Basic,Undergraduate,Employed,M,Suburban,Married,Personal Auto,4,Call Center,Four-Door Car,Small
Nevada,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,2,Agent,Luxury,Medsize
California,No,Basic,Undergraduate,Unemployed,M,Urban,Married,Personal Auto,1,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Undergraduate,Employed,M,Suburban,Married,Corporate Auto,1,Agent,Two-Door Car,Small
Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,3,Web,Four-Door Car,Medsize
